,id_start_el,id_end_el,id_start_ah,id_end_ah,t_start_el,t_end_el,t_start_ah,t_end_ah,pos_start_el,pos_end_el,pos_start_ah,pos_end_ah,amp_el,amp_ah,peak_vel_el,peak_vel_ah,subject,task,trial,corr
0,560,583,549,573,2.244,2.248,2.248,2.2520000000000002,21.723296455372967,6.034800866880449,35.047437950751196,18.726409094813928,-15.688495588492518,-16.321028855937268,296.15519489059585,330.06208068502485,AE06,VMS,8,0.9792195120566225
1,298,307,288,302,1.196,1.2,1.204,1.208,13.546276282580024,21.76188821687625,25.924717310200723,34.52926418391486,8.215611934296227,8.604546873714138,291.8509473827494,307.2424566224049,AE06,VMS,8,0.9792195120566225
0,553,568,758,775,2.216,2.22,2.208,2.212,21.928531756272612,5.040537291637541,35.747628315148425,18.004220970995735,-16.88799446463507,-17.74340734415269,434.03221553067874,569.7737673813966,AE06,VMS,9,0.8912713147083454
1,305,314,510,526,1.224,1.228,1.2160000000000002,1.2200000000000002,13.688042288476957,21.497400497490815,26.355852212806088,34.705274286821414,7.809358209013858,8.349422074015326,295.4064787243965,239.4149506876674,AE06,VMS,9,0.8912713147083454
0,559,575,564,581,2.24,2.244,2.2279999999999998,2.2319999999999998,16.18261070181973,3.860634669645735,29.435567984835178,18.421436335629878,-12.321976032173994,-11.0141316492053,303.5162861641109,268.2043256728955,AE06,VMS,10,0.9127906636542982
1,307,313,318,326,1.232,1.236,1.244,1.248,14.02772427852413,16.320814058088107,27.229899884238826,29.435072368175266,2.293089779563978,2.2051724839364404,113.92980602735118,88.99059172903694,AE06,VMS,10,0.9127906636542982
0,553,571,590,611,2.216,2.22,2.2039999999999997,2.2079999999999997,22.27568377163219,4.639037902358977,37.178020982398166,18.730031754038002,-17.63664586927321,-18.447989228360164,390.0129446217867,373.4132244683064,AE06,VMS,11,0.942634325568734
1,304,314,341,355,1.22,1.224,1.2080000000000002,1.2120000000000002,14.060111848904443,21.34735045823315,27.35399457680279,35.80610244882228,7.287238609328709,8.45210787201949,252.32745601837243,221.3668146273795,AE06,VMS,11,0.942634325568734
0,560,583,606,629,2.244,2.248,2.252,2.256,22.762597953178982,4.7770332555958905,39.52540957700136,19.404397054195623,-17.985564697583094,-20.12101252280574,389.826446348645,364.8342206463234,AE06,VMS,12,0.8820508543069923
1,302,312,348,363,1.212,1.216,1.22,1.224,14.120904047167805,21.30321143812146,28.276111584588612,36.900710681861995,7.182307390953653,8.624599097273382,254.03810970367059,188.64068573569554,AE06,VMS,12,0.8820508543069923
