subject,id,trial,source,stream,freq,amp,coeff,slope,slope_tar,gain
1,AE01,8,eyelink,left,0.2,9,0.993272839108245,-5.93249686027422,-10.8660298353531,0.545967289816615
1,AE01,8,adhawk,right,0.2,9,0.995585533996537,-7.27258874391194,-10.8660298353531,0.66929585636239
1,AE01,8,adhawk,left,0.2,9,0.314262916201107,-4.79446685638194,-10.8660298353531,0.441234464567999
1,AE01,9,eyelink,right,0.1,9,0.995402591220337,5.00055352140728,4.98897176530716,1.00232147156668
1,AE01,9,eyelink,left,0.1,9,0.994756763716438,4.81326139328847,4.98897176530716,0.964780243247604
1,AE01,9,adhawk,right,0.1,9,0.993081610105331,4.48896448892117,4.98897176530716,0.899777489248788
1,AE01,9,adhawk,left,0.1,9,0.965794629090575,5.20352816557915,4.98897176530716,1.04300613640751
1,AE01,10,eyelink,right,0.01,9,0.997360794397715,0.509579577755002,0.565149628070223,0.901671968705044
1,AE01,10,eyelink,left,0.01,9,0.997920834819462,0.373855280040028,0.565149628070223,0.661515572993661
1,AE01,10,adhawk,right,0.01,9,0.994674642648376,0.507891385438953,0.565149628070223,0.898684808788098
1,AE01,10,adhawk,left,0.01,9,0.98373596655669,0.588185555768391,0.565149628070223,1.04076075883979
1,AE01,11,eyelink,right,0.01,-9,0.996915913772482,-0.128506597324209,-0.565149628070223,0.227385086960087
1,AE01,11,eyelink,left,0.01,-9,0.995956306291347,0.019591328982375,-0.565149628070223,-0.0346657380794395
1,AE01,11,adhawk,right,0.01,-9,0.994964659697572,-0.436813036463695,-0.565149628070223,0.772915728450977
1,AE01,11,adhawk,left,0.01,-9,0.984736732371409,-0.14242327296243,-0.565149628070223,0.252009849937888
1,AE01,12,eyelink,right,0.2,9,0.997079387509029,-9.5358599007683,-10.8660298353531,0.877584549762872
1,AE01,12,eyelink,left,0.2,9,0.997507692010189,-9.15113229884693,-10.8660298353531,0.842178094254197
1,AE01,12,adhawk,right,0.2,9,0.996194029818676,-9.15044075169105,-10.8660298353531,0.842114451215629
1,AE01,12,adhawk,left,0.2,9,0.177127653661575,-5.56217969759842,-10.8660298353531,0.511887026069229
1,AE01,13,eyelink,right,0.01,9,0.989659463185943,0.770162292712033,0.565149628070223,1.36275820501175
1,AE01,13,eyelink,left,0.01,9,0.992955726478406,0.502054416133114,0.565149628070223,0.888356624859586
1,AE01,13,adhawk,right,0.01,9,0.978162254599836,0.569901245087026,0.565149628070223,1.00840771502058
1,AE01,13,adhawk,left,0.01,9,0.973054574793413,0.482015238356839,0.565149628070223,0.852898443908992
1,AE01,14,eyelink,right,0.2,-9,0.992929854271234,9.60283645417902,10.8660298353531,0.883748397499863
1,AE01,14,eyelink,left,0.2,-9,0.993630541216385,9.04808718399028,10.8660298353531,0.832694859216374
1,AE01,14,adhawk,right,0.2,-9,0.991345770838873,8.60926533939961,10.8660298353531,0.792310114167824
1,AE01,14,adhawk,left,0.2,-9,0.839499411647398,6.43116669173912,10.8660298353531,0.591859841099923
1,AE01,15,eyelink,right,0.1,9,0.999066133351305,4.67387922261756,4.98897176530716,0.936842187626572
1,AE01,15,eyelink,left,0.1,9,0.998829860196553,4.55199984522388,4.98897176530716,0.912412428724905
1,AE01,15,adhawk,right,0.1,9,0.998822442107868,3.83604950454455,4.98897176530716,0.768905835711494
1,AE01,15,adhawk,left,0.1,9,0.965260036588278,3.72983840939573,4.98897176530716,0.747616660277109
1,AE01,16,eyelink,right,0.2,9,0.982287785983625,-6.83715556538965,-10.8660298353531,0.629222970025782
1,AE01,16,eyelink,left,0.2,9,0.986510895368859,-6.63098204322887,-10.8660298353531,0.610248834551758
1,AE01,16,adhawk,right,0.2,9,0.965687376056219,-6.32387950253374,-10.8660298353531,0.581986208243116
1,AE01,16,adhawk,left,0.2,9,0.743629884844217,-3.64521726606833,-10.8660298353531,0.335469101530391
1,AE01,17,eyelink,right,0.1,9,0.995235403384253,3.54545113125382,4.98897176530716,0.710657686200703
1,AE01,17,eyelink,left,0.1,9,0.997798993071466,4.54079014609137,4.98897176530716,0.910165533039814
1,AE01,17,adhawk,right,0.1,9,0.994781359112606,2.89909114111355,4.98897176530716,0.581099929503221
1,AE01,17,adhawk,left,0.1,9,0.964517788793178,2.18156259714152,4.98897176530716,0.437276998100471
1,AE01,18,eyelink,right,0.1,9,0.998932742693039,4.51885980059481,4.98897176530716,0.90576976843576
1,AE01,18,eyelink,left,0.1,9,0.99857170211157,4.53896602493327,4.98897176530716,0.909799902355994
1,AE01,18,adhawk,right,0.1,9,0.9982899588225,3.86263820073649,4.98897176530716,0.774235329932496
1,AE01,18,adhawk,left,0.1,9,0.951205387142053,2.77050624262117,4.98897176530716,0.555326101840666
