subject,id,trial,stream,freq,amp,coeff_el,coeff_ah,slope_el,slope_ah,slope_tar,gain_el,gain_ah
1,AE01,13,left,0.01,9,0.992738255454436,0.973054574793413,0.502054416133114,0.482015238356839,0.565149628070223,0.888356624859586,0.852898443908992
1,AE01,14,right,0.2,-9,0.992290834716233,0.991345770838873,9.62728756020012,8.60926533939961,10.8660298353531,0.885998631153884,0.792310114167824
1,AE01,14,left,0.2,-9,0.992875609002188,0.839499411647398,9.0768205462099,6.43116669173912,10.8660298353531,0.83533918862233,0.591859841099923
1,AE01,15,right,0.1,9,0.999046901876193,0.998822442107868,4.6561347708872,3.83604950454455,4.98897176530716,0.933285452378289,0.768905835711494
1,AE01,15,left,0.1,9,0.998818068157258,0.965260036588278,4.56591735153634,3.72983840939573,4.98897176530716,0.915202082979764,0.747616660277109
1,AE01,16,right,0.2,9,0.981547111987835,0.965687376056219,-6.84666441571616,-6.32387950253374,-10.8660298353531,0.63009806888623,0.581986208243116
1,AE01,16,left,0.2,9,0.985895133676626,0.743629884844217,-6.63852831591747,-3.64521726606833,-10.8660298353531,0.61094331752327,0.335469101530391
1,AE01,17,right,0.1,9,0.995116063025169,0.994781359112606,3.50860888780039,2.89909114111355,4.98897176530716,0.703272949387873,0.581099929503221
1,AE01,17,left,0.1,9,0.997568164050119,0.964517788793178,4.50697762833226,2.18156259714152,4.98897176530716,0.903388080821254,0.437276998100471
1,AE01,18,right,0.1,9,0.999053713892561,0.9982899588225,4.51885980059481,3.86263820073649,4.98897176530716,0.90576976843576,0.774235329932496
1,AE01,18,left,0.1,9,0.99849684196601,0.951205387142053,4.53896602493327,2.77050624262117,4.98897176530716,0.909799902355994,0.555326101840666
1,AE01,19,right,0.2,-9,0.991035881814293,0.992725276632389,9.33468445328691,8.18726031349268,10.8660298353531,0.859070386767768,0.753473019819535
1,AE01,19,left,0.2,-9,0.995168973762527,0.569855777757181,9.50829063234294,5.94365004491886,10.8660298353531,0.875047351831051,0.546993716654534
1,AE01,20,right,0.01,-9,0.942293407666599,0.93612513988776,-0.00400211737556542,-0.358459556440733,-0.565149628070223,0.00708151819763408,0.634273719094074
1,AE01,20,left,0.01,-9,0.970472334028937,0.755585819834456,-0.293143825269666,-0.399859706599516,-0.565149628070223,0.518701261948351,0.707528921083941
1,AE01,21,right,0.01,-9,0.98968459296763,0.989182663873762,-0.258110444287463,-0.323992665425018,-0.565149628070223,0.456711694509674,0.573286523307701
1,AE01,21,left,0.01,-9,0.996809911369061,0.945331515766894,-0.409732784734689,0.00155368553950323,-0.565149628070223,0.72499876914681,-0.00274915785543112
1,AE01,22,right,0.2,-9,0.995511057798069,0.992683903627991,9.56383875746359,8.46686370952803,10.8660298353531,0.880159442075818,0.779204901681819
1,AE01,22,left,0.2,-9,0.995484718284819,0.797438422454002,9.08020749922877,6.53563094766808,10.8660298353531,0.83565088968244,0.601473679595846
1,AE01,23,right,0.01,9,0.988464692649653,0.977451864512042,0.847997855229257,0.656772466405314,0.565149628070223,1.50048378891243,1.16212138128437
1,AE01,23,left,0.01,9,0.993999766642906,0.982587938482223,0.875900099603336,0.746472322219347,0.565149628070223,1.54985521727089,1.32084015478923
1,AE01,24,right,0.01,9,0.975977673803678,0.944833534915487,0.80518412757204,0.658391720550988,0.565149628070223,1.42472734224642,1.16498655904482
1,AE01,24,left,0.01,9,0.890284887570858,-0.815577952006671,0.732419639563666,-0.00448270150168893,0.565149628070223,1.29597473515927,-0.00793188437015468
1,AE01,25,right,0.1,-9,0.998810648239839,0.998678067393895,-4.42050505925531,-4.03822940175436,-4.98897176530716,0.886055337092722,0.80943119979869
1,AE01,25,left,0.1,-9,0.998461820413212,0.980440161236697,-4.2594966248833,-2.18349394999907,-4.98897176530716,0.853782467662663,0.437664122531797
1,AE01,26,right,0.01,-9,0.936244633786251,0.891199663043231,-0.992880165145786,-0.731767398020637,-0.565149628070223,1.75684476434339,1.29482063098821
1,AE01,26,left,0.01,-9,0.988116615367114,0.550168848286599,-0.444817186859559,-0.0435620679524371,-0.565149628070223,0.787078615584417,0.0770805920923729
1,AE01,27,right,0.2,-9,0.993735808531007,0.996982204291467,9.86264355181492,8.6718796971105,10.8660298353531,0.90765842734265,0.798072509325913
1,AE01,27,left,0.2,-9,0.995043996150227,0.848943608366585,9.7192198210957,7.85730011096447,10.8660298353531,0.894459150983902,0.72310680441907
1,AE01,28,right,0.1,-9,0.998481859945359,0.995904851169598,-4.95541035748881,-4.12602440686643,-4.98897176530716,0.993272880786432,0.827029015389186
1,AE01,28,left,0.1,-9,0.997796515705287,0.988979432088774,-4.25863731688838,-2.99877561662828,-4.98897176530716,0.853610226159736,0.601080895562786
1,AE01,29,right,0.1,-9,0.998011395436146,0.998107016630218,-4.77717658053222,-4.21176798106934,-4.98897176530716,0.95754732743774,0.844215637850986
1,AE01,29,left,0.1,-9,0.997812197899292,0.991281640230931,-4.72927361741105,-2.89839950019488,-4.98897176530716,0.947945556697267,0.580961295541915
1,AE01,30,right,0.2,9,0.988781672153727,0.984600298967514,-5.16968668177364,-4.86484693445029,-10.8660298353531,0.475765920037678,0.447711538451909
1,AE01,30,left,0.2,9,0.98120487556859,0.285229443582636,-5.69984786780672,-4.99623838725265,-10.8660298353531,0.524556618578573,0.45980348507761
2,AE02,1,right,0.2,-9,0.997016954133901,0.971726598741579,10.8177539856414,10.045655955654,10.8660298353531,0.9955571767754,0.924501046644466
2,AE02,1,left,0.2,-9,0.992515676507713,0.989056378538062,10.9949177172109,8.3998080333326,10.8660298353531,1.01186154315888,0.773033772280235
2,AE02,2,right,0.1,-9,0.998894372256069,0.9988782599806,-4.41467226332639,-4.07843664802257,-4.98897176530716,0.884886199201529,0.81749042485741
2,AE02,2,left,0.1,-9,0.999177242771495,0.993362426310842,-4.50657155075469,-3.26117859486993,-4.98897176530716,0.903306685777011,0.65367750075233
2,AE02,3,right,0.1,-9,0.999449512153275,0.999451054526583,-4.92792955541577,-4.21882285869151,-4.98897176530716,0.987764570985174,0.845629732368664
