subject,id,trial,source,stream,freq,amp,sac_amp
1,AE01,28,adhawk,left,0.1,-9,0.375685043581999
1,AE01,28,adhawk,left,0.1,-9,0.972979290518282
1,AE01,28,adhawk,left,0.1,-9,0.433551577291947
1,AE01,28,adhawk,left,0.1,-9,0.270488315142448
1,AE01,28,adhawk,left,0.1,-9,0.315629292038743
1,AE01,28,adhawk,left,0.1,-9,0.25788366298455
1,AE01,28,adhawk,left,0.1,-9,0.258489476612755
1,AE01,28,adhawk,left,0.1,-9,0.146392501264334
1,AE01,28,adhawk,left,0.1,-9,0.336522464587727
1,AE01,28,adhawk,left,0.1,-9,0.439201505588414
1,AE01,28,adhawk,left,0.1,-9,0.271072442800453
1,AE01,28,adhawk,left,0.1,-9,0.119188995201297
1,AE01,28,adhawk,left,0.1,-9,0.277859243096938
1,AE01,28,adhawk,left,0.1,-9,0.258644189686295
1,AE01,28,adhawk,left,0.1,-9,0.253487522884779
1,AE01,29,eyelink,right,0.1,-9,0.38396972930696
1,AE01,29,eyelink,right,0.1,-9,0.165502339568594
1,AE01,29,eyelink,right,0.1,-9,0.190279635735005
1,AE01,29,adhawk,left,0.1,-9,1.33971708127936
1,AE01,29,adhawk,left,0.1,-9,1.51868168068642
1,AE01,29,adhawk,left,0.1,-9,0.44908542822024
1,AE01,29,adhawk,left,0.1,-9,0.339820751568375
1,AE01,29,adhawk,left,0.1,-9,0.262645356598131
1,AE01,29,adhawk,left,0.1,-9,0.317136451845034
1,AE01,29,adhawk,left,0.1,-9,0.804817652931792
1,AE01,29,adhawk,left,0.1,-9,0.270821736446333
1,AE01,29,adhawk,left,0.1,-9,0.459571710375432
1,AE01,29,adhawk,left,0.1,-9,0.383892076722081
1,AE01,29,adhawk,left,0.1,-9,0.287271890949807
1,AE01,29,adhawk,left,0.1,-9,0.244141342519669
1,AE01,29,adhawk,left,0.1,-9,0.28109316068792
1,AE01,29,adhawk,left,0.1,-9,0.228349106161938
1,AE01,29,adhawk,left,0.1,-9,0.181773808475537
1,AE01,29,adhawk,left,0.1,-9,0.274654947446631
1,AE01,29,adhawk,left,0.1,-9,0.523213123798337
1,AE01,29,adhawk,left,0.1,-9,0.380009061118065
1,AE01,29,adhawk,left,0.1,-9,0.305244656966195
1,AE01,29,adhawk,left,0.1,-9,0.286023229717731
1,AE01,29,adhawk,left,0.1,-9,0.63870916952941
1,AE01,29,adhawk,left,0.1,-9,0.673113922104132
1,AE01,29,adhawk,left,0.1,-9,0.699162540577975
1,AE01,30,eyelink,right,0.2,9,2.98075720304287
1,AE01,30,eyelink,right,0.2,9,0.197716350707472
1,AE01,30,eyelink,right,0.2,9,0.476573642498887
1,AE01,30,eyelink,left,0.2,9,2.86743639909203
1,AE01,30,eyelink,left,0.2,9,0.210653239016643
1,AE01,30,eyelink,left,0.2,9,0.415724775095389
1,AE01,30,adhawk,right,0.2,9,1.56475207970729
1,AE01,30,adhawk,left,0.2,9,0.313007488599715
1,AE01,30,adhawk,left,0.2,9,0.361407151748653
1,AE01,30,adhawk,left,0.2,9,0.964997508659334
1,AE01,30,adhawk,left,0.2,9,0.499954169940361
1,AE01,30,adhawk,left,0.2,9,0.270981024342785
1,AE01,30,adhawk,left,0.2,9,0.559857553374129
1,AE01,30,adhawk,left,0.2,9,0.18424721948842
2,AE02,1,eyelink,right,0.2,-9,0.638357366266637
2,AE02,1,eyelink,right,0.2,-9,0.763025463568188
2,AE02,1,eyelink,left,0.2,-9,0.439925770755742
2,AE02,1,eyelink,left,0.2,-9,0.678843765056757
2,AE02,1,adhawk,right,0.2,-9,0.193423986691816
2,AE02,1,adhawk,left,0.2,-9,0.279877961197975
2,AE02,1,adhawk,left,0.2,-9,0.138133839763186
2,AE02,1,adhawk,left,0.2,-9,0.469804763303201
2,AE02,1,adhawk,left,0.2,-9,0.522631800423714
2,AE02,1,adhawk,left,0.2,-9,0.369265952562193
2,AE02,1,adhawk,left,0.2,-9,0.32828378406724
2,AE02,1,adhawk,left,0.2,-9,0.680226189950636
