subject,id,trial,source,stream,freq,amp,coeff,slope,slope_tar,gain
1,AE01,18,adhawk,left,0.1,-9,0.956473898263238,-9.1937009933353,-4.98897176530716,1.84280477537825
1,AE01,19,eyelink,right,0.1,-9,0.997988625291237,-2.67477066251657,-4.98897176530716,0.536136660687614
1,AE01,19,eyelink,left,0.1,-9,0.997979222067017,-2.77226959436942,-4.98897176530716,0.555679551776084
1,AE01,19,adhawk,right,0.1,-9,0.996179387080618,-1.55057771894745,-4.98897176530716,0.310801061198627
1,AE01,19,adhawk,left,0.1,-9,0.985815451761844,-7.75039115810734,-4.98897176530716,1.55350471453914
1,AE01,20,eyelink,right,0.2,-9,0.993291408683271,6.4313032357699,10.8660298353531,0.591872407237956
1,AE01,20,eyelink,left,0.2,-9,0.994338661048675,6.22080982578649,10.8660298353531,0.572500712776142
1,AE01,20,adhawk,right,0.2,-9,0.916065953170315,3.61303195952164,10.8660298353531,0.332507089918572
1,AE01,20,adhawk,left,0.2,-9,0.969436388658544,11.265890471818,10.8660298353531,1.03679914766697
1,AE01,21,eyelink,right,0.01,9,0.984418341627852,0.43815987044926,0.565149628070223,0.775298874291777
1,AE01,21,eyelink,left,0.01,9,0.995813734147112,0.741339904349272,0.565149628070223,1.31175863440037
1,AE01,21,adhawk,right,0.01,9,0.972278493140404,0.301965824493594,0.565149628070223,0.534311285888474
1,AE01,21,adhawk,left,0.01,9,0.899269661796665,0.372534484904613,0.565149628070223,0.659178501411531
1,AE01,22,eyelink,right,0.1,-9,0.918458075168185,-3.41832818555002,-4.98897176530716,0.68517689543179
1,AE01,22,eyelink,left,0.1,-9,0.924896787935808,-3.66829307172273,-4.98897176530716,0.735280383270897
1,AE01,22,adhawk,right,0.1,-9,0.914020255479759,-1.7681995605023,-4.98897176530716,0.354421641108132
1,AE01,22,adhawk,left,0.1,-9,0.934837601209186,-0.519477805121877,-4.98897176530716,0.104125224507037
1,AE01,23,eyelink,right,0.01,-9,0.9936767480539,-0.302507606705854,-0.565149628070223,0.535269938580347
1,AE01,23,eyelink,left,0.01,-9,0.994347236248837,-0.586585790065299,-0.565149628070223,1.03793006476581
1,AE01,23,adhawk,right,0.01,-9,0.970442828230885,-0.0832059451002194,-0.565149628070223,0.147228169262602
1,AE01,23,adhawk,left,0.01,-9,0.966076908290932,-0.460354270191887,-0.565149628070223,0.814570597460759
1,AE01,24,eyelink,right,0.01,-9,0.989147740124834,-0.325626339446212,-0.565149628070223,0.576177216214591
1,AE01,24,eyelink,left,0.01,-9,0.990141535543811,-0.504091270951522,-0.565149628070223,0.891960723167786
1,AE01,24,adhawk,right,0.01,-9,0.890587714286991,0.298701191338086,-0.565149628070223,-0.528534703912024
1,AE01,24,adhawk,left,0.01,-9,-0.468259299264636,0.952400065274953,-0.565149628070223,-1.68521753880834
1,AE01,25,eyelink,right,0.2,-9,0.98747602669546,7.56324536142041,10.8660298353531,0.696044965458593
1,AE01,25,eyelink,left,0.2,-9,0.988574443430825,7.43186612900321,10.8660298353531,0.683954143474123
1,AE01,25,adhawk,right,0.2,-9,0.980055690054491,4.32520756933146,10.8660298353531,0.398048563722806
1,AE01,25,adhawk,left,0.2,-9,0.984947728679016,6.72867219547183,10.8660298353531,0.619239252737904
1,AE01,26,eyelink,right,0.01,9,0.973501115489805,0.17610767670608,0.565149628070223,0.311612479171971
1,AE01,26,eyelink,left,0.01,9,0.983835524999169,0.232852313758735,0.565149628070223,0.412018874636509
1,AE01,26,adhawk,right,0.01,9,0.991949743003643,0.187679587064455,0.565149628070223,0.332088313860014
1,AE01,26,adhawk,left,0.01,9,0.969405416425909,0.188845197260799,0.565149628070223,0.334150794552649
1,AE01,27,eyelink,right,0.2,9,0.996501623360108,-7.58882989658406,-10.8660298353531,0.698399508520901
1,AE01,27,eyelink,left,0.2,9,0.995487091481495,-7.67798859518622,-10.8660298353531,0.706604777598304
1,AE01,27,adhawk,right,0.2,9,0.991628418019844,-4.67817170741879,-10.8660298353531,0.430531829776332
1,AE01,27,adhawk,left,0.2,9,0.978000845410095,-10.0781218408726,-10.8660298353531,0.92748887989273
1,AE01,28,eyelink,right,0.2,-9,0.994350682559352,7.79928667969063,10.8660298353531,0.717767832213685
1,AE01,28,eyelink,left,0.2,-9,0.996039360856544,8.83324928905739,10.8660298353531,0.81292334209483
1,AE01,28,adhawk,right,0.2,-9,0.972476781549638,4.52798189346615,10.8660298353531,0.416709871229523
1,AE01,28,adhawk,left,0.2,-9,0.949604051241669,13.7526734921101,10.8660298353531,1.26565762293098
1,AE01,29,eyelink,right,0.2,9,0.991181712076563,-8.07997882134708,-10.8660298353531,0.74359991126276
1,AE01,29,eyelink,left,0.2,9,0.991032478137193,-8.50030350678632,-10.8660298353531,0.782282363990038
1,AE01,29,adhawk,right,0.2,9,0.950783308564249,-4.83015898175127,-10.8660298353531,0.444519208481844
