subject,id,trial,stream,freq,amp,coeff_el,coeff_ah,slope_el,slope_ah,slope_tar,gain_el,gain_ah
1,AE01,8,left,0.01,-9,0.956685645861091,0.963478032313609,-0.237570488750373,-1.59413839894362,-0.565149628070223,0.420367415902915,2.82073688057977
1,AE01,9,right,0.01,9,0.840622586822773,-0.036576079680345,-0.147247106115617,-0.244314883557137,0.565149628070223,-0.260545347288667,-0.432301237446412
1,AE01,9,left,0.01,9,0.971065408138775,0.727973093581349,-0.254693856530441,-0.833680449907454,0.565149628070223,-0.450666237541599,-1.47514995763894
1,AE01,10,right,0.2,9,0.995176586441861,0.938851145469193,-7.96417252297999,-5.79258056138933,-10.8660298353531,0.732942265358796,0.533090802175317
1,AE01,10,left,0.2,9,0.99502512028364,0.966575222879848,-7.91585214384801,-10.7212982525978,-10.8660298353531,0.728495344094623,0.986680362105725
1,AE01,11,right,0.1,-9,0.964672251644833,0.969543388012674,-3.20726067263064,-2.1401550438391,-4.98897176530716,0.642870078947655,0.42897718097375
1,AE01,11,left,0.1,-9,0.978329858104113,0.960533763497683,-3.14755993042317,-3.12195486679476,-4.98897176530716,0.630903536538531,0.625771203698634
1,AE01,12,right,0.01,9,0.952889613189817,0.979136610277144,0.348361012460302,0.370669807882598,0.565149628070223,0.616404922090856,0.655879061883662
1,AE01,12,left,0.01,9,0.976536326377557,0.289519373539045,0.305954248464333,-0.111833716299826,0.565149628070223,0.541368574388085,-0.197883375915324
1,AE01,13,right,0.1,9,0.998035029543361,0.996918613960693,2.53286299882169,1.89433938986714,4.98897176530716,0.507692389929922,0.379705373969081
1,AE01,13,left,0.1,9,0.998064637544263,0.978687409639417,2.65324846844411,5.45060254994112,4.98897176530716,0.531822706813968,1.09253024598056
1,AE01,14,right,0.1,9,0.997535536149958,0.995159985441061,3.51252643513287,2.05662466675509,4.98897176530716,0.704058190819729,0.412234176400167
1,AE01,14,left,0.1,9,0.997149224362921,0.990696725284679,3.46423470641966,5.58453763872544,4.98897176530716,0.694378495085825,1.11937647704479
1,AE01,15,right,0.1,9,0.997347939297413,0.98990325022887,3.0685074041333,1.22078386742025,4.98897176530716,0.615058081801828,0.244696487542676
1,AE01,15,left,0.1,9,0.997341685406744,0.993663161401945,2.95259038134602,5.68428616315316,4.98897176530716,0.591823429805328,1.13937028120326
1,AE01,16,right,0.1,9,0.998953029968293,0.984787680351468,3.93046511403206,1.78210427329746,4.98897176530716,0.787830699176161,0.357208731003459
1,AE01,16,left,0.1,9,0.998259251319231,0.994751117518613,4.15311024121771,5.83377480845016,4.98897176530716,0.83245815702908,1.16933409986757
1,AE01,17,right,0.1,9,0.961026352574425,0.873860980874149,3.35741867822122,3.4330572463901,4.98897176530716,0.672968065597884,0.688129219384094
1,AE01,17,left,0.1,9,0.93140763643787,0.992936612283821,2.31237682281095,6.6906052344404,4.98897176530716,0.463497676794043,1.34107899366483
1,AE01,18,right,0.1,-9,0.997805737683473,0.995670018167324,-3.30983174350059,-2.01597039095621,-4.98897176530716,0.663429640255102,0.404085347801541
1,AE01,18,left,0.1,-9,0.99818166394755,0.956473898263238,-3.40658694947647,-9.1937009933353,-4.98897176530716,0.682823457363611,1.84280477537825
1,AE01,19,right,0.1,-9,0.99801292196722,0.996179387080618,-2.71082031731913,-1.55057771894745,-4.98897176530716,0.543362529363248,0.310801061198627
