subject,id,trial,source,stream,freq,amp,sac_amp
1,AE01,13,adhawk,left,0,-9,0.300004129254733
1,AE01,14,adhawk,left,0,-9,0.329240280602022
1,AE01,15,eyelink,right,0,-9,0.550678873538207
1,AE01,15,eyelink,left,0,-9,0.707748349900402
1,AE01,15,eyelink,left,0,-9,0.783950046487019
1,AE01,15,adhawk,left,0,-9,0.18599187771669
1,AE01,15,adhawk,left,0,-9,0.230302508328346
1,AE01,15,adhawk,left,0,-9,0.753134484294382
1,AE01,15,adhawk,left,0,-9,1.70676824444205
1,AE01,15,adhawk,left,0,-9,0.372443820200997
1,AE01,15,adhawk,left,0,-9,0.16495185406408
1,AE01,15,adhawk,left,0,-9,0.258061469175209
1,AE01,15,adhawk,left,0,-9,0.237068315319726
1,AE01,15,adhawk,left,0,-9,0.189436863528679
1,AE01,16,eyelink,right,0,-9,0.794627488000409
1,AE01,16,eyelink,left,0,-9,0.440707927569375
1,AE01,16,adhawk,left,0,-9,0.317819141763128
1,AE01,16,adhawk,left,0,-9,0.322843757160289
1,AE01,16,adhawk,left,0,-9,0.859024706535735
1,AE01,17,eyelink,right,0,-9,0.228909731902458
1,AE01,17,eyelink,right,0,-9,0.775086681143474
1,AE01,17,eyelink,left,0,-9,0.94496538753583
1,AE01,17,adhawk,left,0,-9,0.275198269356767
1,AE01,17,adhawk,left,0,-9,0.629623725683785
1,AE01,17,adhawk,left,0,-9,0.271843548812427
1,AE01,18,eyelink,right,0,-9,0.406871851896542
1,AE01,18,eyelink,left,0,-9,0.470575226629525
1,AE01,18,adhawk,right,0,-9,0.240374646112341
1,AE01,18,adhawk,left,0,-9,0.377371032946277
1,AE01,18,adhawk,left,0,-9,0.192294663322716
1,AE01,18,adhawk,left,0,-9,0.26154000449114
1,AE01,18,adhawk,left,0,-9,0.310375280420907
1,AE01,18,adhawk,left,0,-9,0.148378727367753
1,AE01,18,adhawk,left,0,-9,0.386803515715295
1,AE01,18,adhawk,left,0,-9,0.600932530906638
1,AE01,18,adhawk,left,0,-9,0.584761202669165
1,AE01,18,adhawk,left,0,-9,0.629587922985596
1,AE01,18,adhawk,left,0,-9,0.398217323025209
1,AE01,18,adhawk,left,0,-9,0.432639338842137
1,AE01,18,adhawk,left,0,-9,0.395608330060508
1,AE01,18,adhawk,left,0,-9,0.788331902838104
1,AE01,18,adhawk,left,0,-9,0.27612801082725
1,AE01,18,adhawk,left,0,-9,0.460791185086521
1,AE01,18,adhawk,left,0,-9,0.196553168128411
1,AE01,18,adhawk,left,0,-9,0.481389506714631
1,AE01,18,adhawk,left,0,-9,1.08473918163585
1,AE01,18,adhawk,left,0,-9,0.763766731569948
1,AE01,18,adhawk,left,0,-9,0.459178155311696
1,AE01,19,eyelink,right,0,-9,0.331716621833637
1,AE01,19,eyelink,left,0,-9,0.483102782687395
1,AE01,19,adhawk,left,0,-9,0.210226837634576
1,AE01,19,adhawk,left,0,-9,0.643488152911376
1,AE01,19,adhawk,left,0,-9,0.322162216486422
1,AE01,19,adhawk,left,0,-9,0.400825960661264
1,AE01,19,adhawk,left,0,-9,0.24686228946786
1,AE01,19,adhawk,left,0,-9,0.261141777893059
1,AE01,19,adhawk,left,0,-9,0.210241821480297
1,AE01,19,adhawk,left,0,-9,0.292819122828455
1,AE01,19,adhawk,left,0,-9,0.938132978672922
1,AE01,19,adhawk,left,0,-9,0.429993842675879
1,AE01,19,adhawk,left,0,-9,0.814509455869402
1,AE01,19,adhawk,left,0,-9,1.36199874194675
1,AE01,19,adhawk,left,0,-9,0.144383669937788
1,AE01,19,adhawk,left,0,-9,0.394242276998003
1,AE01,19,adhawk,left,0,-9,0.523985359222403
1,AE01,19,adhawk,left,0,-9,1.20690392396414
1,AE01,19,adhawk,left,0,-9,1.71241258040384
1,AE01,19,adhawk,left,0,-9,0.135066911446891
1,AE01,20,eyelink,right,0,-9,0.997213660785372
1,AE01,20,eyelink,right,0,-9,1.6744323443968
1,AE01,20,eyelink,right,0,-9,0.719401945911744
1,AE01,20,eyelink,right,0,-9,0.292660684504549
1,AE01,20,eyelink,right,0,-9,0.49736625535691
1,AE01,20,eyelink,left,0,-9,0.773852132835558
1,AE01,20,eyelink,left,0,-9,1.57776450595683
