subject,id,trial,stream,freq,amp,conj
1,AE01,23,target,0.01,-9,0
1,AE01,24,eyelink,0.01,-9,0.24091711280295
1,AE01,24,adhawk,0.01,-9,-0.87800206158124
1,AE01,24,target,0.01,-9,0
1,AE01,25,eyelink,0.2,-9,-0.110660407501959
1,AE01,25,adhawk,0.2,-9,-0.351276595717222
1,AE01,25,target,0.2,-9,0
1,AE01,26,eyelink,0.01,9,-0.215293290872522
1,AE01,26,adhawk,0.01,9,-0.96009344154731
1,AE01,26,target,0.01,9,0
1,AE01,27,eyelink,0.2,9,-0.0551490732043906
1,AE01,27,adhawk,0.2,9,-0.941496695508084
1,AE01,27,target,0.2,9,0
1,AE01,28,eyelink,0.2,-9,-0.345651713141149
1,AE01,28,adhawk,0.2,-9,-0.847574152936026
1,AE01,28,target,0.2,-9,0
1,AE01,29,eyelink,0.2,9,-0.0494018985664254
1,AE01,29,adhawk,0.2,9,-1.27350619298147
1,AE01,29,target,0.2,9,0
1,AE01,30,eyelink,0.2,-9,0.388931829564861
1,AE01,30,adhawk,0.2,-9,-1.46208069915324
1,AE01,30,target,0.2,-9,0
2,AE02,1,eyelink,0.1,-9,0.088921532899091
2,AE02,1,adhawk,0.1,-9,-0.272193252029496
2,AE02,1,target,0.1,-9,0
2,AE02,2,eyelink,0.2,9,-0.19601760728815
2,AE02,2,adhawk,0.2,9,0.177653054534374
2,AE02,2,target,0.2,9,0
2,AE02,3,eyelink,0.01,9,-0.112625610942333
2,AE02,3,adhawk,0.01,9,-0.0640777790203713
2,AE02,3,target,0.01,9,0
2,AE02,4,eyelink,0.01,-9,0.0798845422490128
2,AE02,4,adhawk,0.01,-9,0.0744902614361086
2,AE02,4,target,0.01,-9,0
2,AE02,5,eyelink,0.2,-9,-0.234064093416833
2,AE02,5,adhawk,0.2,-9,-0.566457012058566
2,AE02,5,target,0.2,-9,0
2,AE02,6,eyelink,0.2,9,0.165179096577617
2,AE02,6,adhawk,0.2,9,-0.540138603458906
2,AE02,6,target,0.2,9,0
2,AE02,7,eyelink,0.01,-9,0.546353764265709
2,AE02,7,adhawk,0.01,-9,-0.0329062099056282
2,AE02,7,target,0.01,-9,0
2,AE02,8,eyelink,0.01,-9,0.0460669009456623
