subject,trial,target_slope,el_slope,ah_slope,el_slope_gain,ah_slope_gain
,11,-0.5487621183,-0.5807606245,-0.452151118,1.058310341,0.8239473953
,13,0.5487621183,0.5180603994,0.5346370003,0.9440527728,0.9742600346
,20,-0.5487621183,-0.6337871551,-0.4680627099,1.154939698,0.8529428222
,21,-0.5487621183,-0.5731518933,-0.4398435541,1.044445078,0.8015195283
,23,0.5487621183,0.5170499194,0.5739987825,0.9422113921,1.04598835
,24,0.5487621183,0.4993436365,0.546572344,0.90994553,0.996009611
AE10,7,-0.5487621183,-0.4956702093,-0.5273369664,0.9032515051,0.9609573053
,10,0.5487621183,0.4983091196,0.5215994264,0.9080603472,0.9505018824
,11,-0.5487621183,-0.4929429887,-0.5293872705,0.8982817368,0.9646935401
AE11,5,0.5487621183,0.5108278517,0.490927947,0.9308730226,0.8946097601
,7,-0.5487621183,-0.4942821804,-0.2777905964,0.9007221235,0.5062131425
,10,0.5487621183,0.4973671944,0.4525590975,0.9063438926,0.8246908496
,11,-0.5487621183,-0.5135419714,-0.4232609639,0.9358189174,0.7713013523
,13,0.5487621183,0.4909498544,0.4393778637,0.8946496816,0.8006709084
,20,-0.5487621183,-0.5061702345,-0.3934154589,0.922385525,0.7169143893
,21,-0.5487621183,-0.5334490237,-0.3626802599,0.9720952047,0.660906152
,23,0.5487621183,0.4836271583,0.4881964245,0.8813056554,0.8896321525
,24,0.5487621183,0.5234806083,0.4800259133,0.9539299286,0.8747431671
AE12,5,0.5487621183,0.3525913101,0.3323681406,0.642521228,0.6056688856
,11,-0.5487621183,-0.6658100688,-0.4033974874,1.213294516,0.7351044724
,13,0.5487621183,0.5004612127,0.3020141553,0.9119820703,0.5503553275
,24,0.5487621183,0.4613870074,0.06500402959,0.8407778016,0.1184557524
,26,-0.5487621183,-0.5030581428,-0.219732151,0.9167144124,0.4004142118
AE13,5,0.5498277602,0.5045919701,0.3713663931,0.917727344,0.6754231414
,10,0.5498277602,0.4761290557,0.3940308603,0.8659603791,0.7166441725
,11,-0.5498277602,-0.5172639771,-0.4998705852,0.9407745743,0.9091403188
,13,0.5498277602,0.508723239,0.6136794907,0.9252410951,1.116130423
,20,-0.5498277602,-0.550672257,-0.5079986407,1.00153593,0.9239232309
,21,-0.5498277602,-0.519010352,-0.517503163,0.9439507962,0.941209594
,26,-0.5498277602,-0.5182581071,-0.5106362047,0.9425826496,0.9287203041
