subject,eye,trial,target_slope,el_slope,ah_slope,el_slope_gain,ah_slope_gain
AE03,left,10,0.54982776,0.599321528,0.796660362,1.090016859,1.448927136
AE03,left,13,0.54982776,0.494824698,0.610382611,0.899963104,1.110134219
AE03,left,20,-0.54982776,-0.475233247,-0.615765507,0.864331125,1.119924368
AE03,left,21,-0.54982776,-0.508505391,-0.549821462,0.924844884,0.999988544
AE03,left,23,0.54982776,0.55192626,0.504495218,1.003816649,0.917551377
AE03,left,24,0.54982776,0.515018117,0.503562149,0.936689913,0.915854356
AE04,right,5,0.54982776,0.557142647,0.645678149,1.01330396,1.174328027
AE04,right,7,-0.54982776,-0.520520597,-0.279295215,0.946697556,0.507968559
AE04,right,10,0.54982776,0.549069315,0.569530517,0.998620576,1.035834415
AE04,right,11,-0.54982776,-0.533115879,-0.52441895,0.969605243,0.953787691
AE04,right,13,0.54982776,0.631929303,0.558687592,1.149322295,1.016113831
AE04,right,20,-0.54982776,-0.479415973,-0.43412957,0.871938464,0.789573756
AE04,right,21,-0.54982776,-0.535593789,-0.569272476,0.974111945,1.035365103
AE04,right,23,0.54982776,0.542570616,0.610227393,0.986801059,1.109851915
AE04,right,24,0.54982776,0.568176489,0.489676847,1.033371776,0.890600443
AE04,right,26,-0.54982776,-0.50942168,-0.401949599,0.926511385,0.73104639
AE04,left,5,0.54982776,0.466693731,0.269528489,0.848799869,0.490205313
AE04,left,7,-0.54982776,-0.428489605,-0.688149869,0.779316062,1.251573527
AE04,left,10,0.54982776,0.539549705,0.478533281,0.981306772,0.870333067
AE04,left,11,-0.54982776,-0.521371852,-0.573742883,0.948245778,1.043495663
AE04,left,13,0.54982776,0.531140667,0.566119933,0.966012823,1.029631413
AE04,left,20,-0.54982776,-0.523044005,-0.594624237,0.951287009,1.081473654
AE04,left,21,-0.54982776,-0.566495472,-0.543482924,1.030314423,0.988460319
AE04,left,23,0.54982776,0.518059153,0.439737804,0.942220801,0.799773739
AE04,left,24,0.54982776,0.484059815,0.537337227,0.880384458,0.977282825
AE04,left,26,-0.54982776,-0.49743839,-0.588406802,0.904716761,1.070165686
AE05,right,5,0.54982776,0.55032014,0.644209109,1.000895516,1.171656209
AE05,right,7,-0.54982776,-0.518410751,0.120049065,0.942860271,-0.218339402
AE05,right,10,0.54982776,0.567516013,0.466629992,1.032170534,0.848683944
AE05,right,11,-0.54982776,-0.503434145,-0.170407401,0.915621547,0.309928697
AE05,right,20,-0.54982776,-0.48373959,0.183343988,0.879802048,-0.333457132
AE05,right,21,-0.54982776,-0.52058778,-0.075124823,0.946819745,0.136633375
AE05,right,23,0.54982776,0.514129029,0.291968304,0.935072883,0.531017756
AE05,right,24,0.54982776,0.472004695,0.063456508,0.858459193,0.115411612
AE05,right,26,-0.54982776,-0.538503402,-0.032723034,0.979403808,0.059515064
AE05,left,5,0.54982776,0.572206572,0.475728392,1.040701495,0.865231671
AE05,left,7,-0.54982776,-0.516130809,-0.015855638,0.938713624,0.028837464
AE05,left,10,0.54982776,0.549815317,0.259673582,0.999977368,0.472281687
AE05,left,11,-0.54982776,-0.501943393,-0.049910611,0.912910241,0.090774993
AE05,left,20,-0.54982776,-0.470891685,-0.017456507,0.856434903,0.031749047
AE05,left,21,-0.54982776,-0.467490084,0.002312947,0.850248238,-0.004206676
AE05,left,23,0.54982776,0.53562972,0.417009167,0.974177294,0.758436
AE05,left,24,0.54982776,0.632156489,0.719854482,1.149735489,1.309236336
AE05,left,26,-0.54982776,-0.553281574,-0.286908076,1.006281628,0.521814461
AE06,right,5,0.54982776,0.612192442,0.41845132,1.113425851,0.761058918
AE06,right,7,-0.54982776,-0.374278781,-0.732932437,0.680720052,1.333021884
AE06,right,10,0.54982776,0.704353685,0.307785745,1.28104424,0.559785749
AE06,right,11,-0.54982776,-0.447562988,-0.359600851,0.814005803,0.654024546
AE06,right,13,0.54982776,0.723452374,0.114748796,1.315780006,0.208699531
AE06,right,20,-0.54982776,-0.262365213,-0.36431399,0.477177094,0.662596573
AE06,right,21,-0.54982776,-0.346670949,-0.414839681,0.630508269,0.754490245
AE06,right,23,0.54982776,0.585742846,0.504794053,1.065320613,0.918094883
AE06,right,26,-0.54982776,-0.515873776,-0.66858815,0.938246144,1.215995624
AE06,left,5,0.54982776,0.501318729,0.634905474,0.911774132,1.15473521
AE06,left,7,-0.54982776,-0.449646573,-0.356230402,0.817795327,0.647894537
AE06,left,10,0.54982776,0.568183032,0.558719866,1.033383675,1.01617253
AE06,left,11,-0.54982776,-0.564671747,-0.669366883,1.026997521,1.217411945
AE06,left,13,0.54982776,0.512205996,0.876282974,0.931575364,1.593740871
