subject,eye,trial,target_freq,el_freq,ah_freq,el_freq_gain,ah_freq_gain,target_amp,el_amp,ah_amp,el_amp_gain,ah_amp_gain
AE03,right,15,0.1,0.100568454,0.096876197,1.005684537,0.968761973,9,8.259283924,8.52217313,0.917698214,0.946908126
AE03,right,16,0.2,0.200306754,0.188395931,1.00153377,0.941979653,9,8.904660032,9.80729888,0.98940667,1.089699876
AE03,right,17,0.1,0.102243586,0.106728569,1.022435858,1.067285686,9,8.460867482,8.452242976,0.940096387,0.939138108
AE03,right,18,0.1,0.100405577,0.101732515,1.004055767,1.017325146,9,8.837824097,8.781104265,0.981980455,0.975678252
AE03,right,19,0.2,0.199322417,0.192052867,0.996612087,0.960264334,9,8.292935014,8.799141796,0.921437224,0.977682422
AE03,right,22,0.2,0.219364813,0.217028975,1.096824064,1.085144876,9,8.687750388,9.336649648,0.965305599,1.037405516
AE03,right,25,0.1,0.100122654,0.107125885,1.001226542,1.071258846,9,7.890813242,7.861018765,0.876757027,0.873446529
AE03,right,27,0.2,0.202107599,0.192836057,1.010537994,0.964180284,9,8.728242458,9.524081009,0.969804718,1.058231223
AE03,right,29,0.1,0.095670487,0.099096136,0.956704869,0.990961357,9,7.925488363,8.270426955,0.880609818,0.918936328
AE03,right,30,0.2,0.202722563,0.204750959,1.013612817,1.023754795,9,8.934561194,9.558083345,0.992729022,1.062009261
AE03,left,1,0.2,0.203972017,0.205164126,1.019860084,1.02582063,9,8.069932559,9.058893916,0.896659173,1.006543768
AE03,left,2,0.1,0.102919698,0.106467045,1.029196976,1.064670454,9,8.269006158,9.042110835,0.918778462,1.004678982
AE03,left,3,0.1,0.099971437,0.103372963,0.999714369,1.033729633,9,8.083010822,9.005324418,0.898112314,1.000591602
AE03,left,4,0.2,0.203436097,0.199236674,1.017180487,0.996183371,9,8.233236783,9.328345315,0.914804087,1.036482813
AE03,left,6,0.1,0.098088012,0.101812715,0.980880116,1.018127151,9,7.411559164,8.06149676,0.823506574,0.895721862
AE03,left,8,0.2,0.206596876,0.18811033,1.032984377,0.940551648,9,8.420697315,9.282024613,0.935633035,1.031336068
AE03,left,12,0.2,0.184480049,0.191085757,0.922400245,0.955428787,9,7.180864177,7.830450278,0.797873797,0.870050031
AE03,left,14,0.2,0.204100786,0.19921087,1.020503928,0.996054352,9,7.95093541,9.63727835,0.883437268,1.070808706
AE03,left,15,0.1,0.101643646,0.104044272,1.016436459,1.040442722,9,7.988600506,9.17932291,0.887622278,1.019924768
AE03,left,16,0.2,0.2020062,0.196411973,1.010031001,0.982059864,9,8.391199296,9.346253015,0.932355477,1.038472557
