subject,eye,trial,target_freq,el_freq,ah_freq,el_freq_gain,ah_freq_gain,target_amp,el_amp,ah_amp,el_amp_gain,ah_amp_gain
AE09,right,22,0.1,0.105903956,0.105987785,1.05903956,1.059877853,9,6.236231178,5.567755076,0.692914575,0.618639453
AE09,right,25,0.2,0.200482777,0.182317851,1.002413885,0.911589257,9,6.952842095,6.446234634,0.772538011,0.716248293
AE09,right,27,0.2,0.197651452,0.194828207,0.988257261,0.974141037,9,6.1120257,5.932230466,0.679113967,0.659136719
AE09,right,28,0.2,0.196932702,0.198041079,0.984663511,0.990205396,9,6.991493093,6.543577383,0.776832566,0.727064154
AE09,right,29,0.2,0.193691172,0.119999977,0.968455858,0.599999883,9,6.430185288,7.222753909,0.714465032,0.802528212
AE09,right,30,0.2,0.197345473,0.151581935,0.986727364,0.757909674,9,5.848013425,5.727098969,0.64977927,0.63634433
AE09,left,1,0.1,0.103739253,0.19981407,1.037392529,1.998140697,9,6.524482296,6.015435873,0.724942477,0.668381764
AE09,left,2,0.2,0.204551851,0.205594498,1.022759256,1.027972492,9,6.609980668,6.1238036,0.734442296,0.680422622
AE09,left,5,0.2,0.205307757,0.191301254,1.026538785,0.95650627,9,6.59365299,6.252448762,0.73262811,0.694716529
AE09,left,6,0.2,0.20399776,0.199392985,1.019988801,0.996964927,9,6.687884827,6.08881412,0.743098314,0.676534902
AE09,left,10,0.2,0.201269724,0.201459969,1.006348618,1.007299846,9,6.908843625,6.261498889,0.767649292,0.695722099
AE09,left,11,0.1,0.101135791,0.104651074,1.011357914,1.046510743,9,5.97176087,5.658182841,0.663528986,0.628686982
AE09,left,13,0.1,0.096802545,0.1391864,0.968025454,1.391864001,9,6.957544429,3.56274868,0.773060492,0.395860965
AE09,left,14,0.1,0.100074028,0.10151072,1.000740284,1.015107197,9,6.336969432,5.236010365,0.704107715,0.58177893
AE09,left,15,0.1,0.100409647,0.098702035,1.004096473,0.987020354,9,6.484138204,6.074947072,0.7204598,0.674994119
AE09,left,16,0.1,0.09752327,0.109918101,0.975232698,1.099181007,9,6.440224715,5.027216701,0.715580524,0.558579633
AE09,left,17,0.1,0.098907402,0.112225017,0.989074017,1.122250166,9,6.600585747,4.269714498,0.733398416,0.474412722
AE09,left,18,0.1,0.096079308,0.096920631,0.960793083,0.96920631,9,6.711424957,5.909472493,0.745713884,0.656608055
AE09,left,19,0.1,0.103952973,0.124261196,1.039529734,1.242611962,9,6.330534839,4.359724348,0.70339276,0.484413816
AE09,left,22,0.1,0.102169358,0.103148267,1.021693578,1.031482674,9,6.634060096,6.181667622,0.737117788,0.686851958
AE09,left,25,0.2,0.20256203,0.184963534,1.01281015,0.924817672,9,6.95898637,6.607346814,0.773220708,0.734149646
AE09,left,27,0.2,0.197499756,0.188931665,0.987498778,0.944658326,9,6.593139957,5.806459483,0.732571106,0.645162165
AE09,left,28,0.2,0.19961486,0.187824374,0.998074301,0.939121872,9,7.177624468,6.567101808,0.79751383,0.729677979
AE09,left,29,0.2,0.19837551,0.125216522,0.991877549,0.626082609,9,6.493341391,7.250134408,0.721482377,0.80557049
AE09,left,30,0.2,0.199251217,0.134142798,0.996256087,0.670713991,9,6.157670975,5.655250355,0.684185664,0.628361151
AE10,right,1,0.1,0.103387867,0.103379019,1.033878672,1.033790188,9,6.367649139,3.114225538,0.707516571,0.34602506
AE10,right,5,0.2,0.199008457,0.199457177,0.995042285,0.997285887,9,6.047252483,4.828335787,0.671916943,0.536481754
AE10,right,10,0.2,0.200378313,0.174298785,1.001891562,0.871493927,9,5.96623501,4.680015563,0.662915001,0.520001729
AE10,right,16,0.1,0.101225293,0.123796417,1.012252929,1.237964171,9,4.845943643,3.443951469,0.538438183,0.382661274
