subject,eye,trial,target_slope,el_slope,ah_slope,el_slope_gain,ah_slope_gain
AE01,left,26,-0.54982776,-0.369451185,-0.78538259,0.671939854,1.428415673
AE02,right,3,-0.54982776,-0.43201111,-0.35083407,0.785720804,0.638079951
AE02,right,9,-0.54982776,-0.417986769,-0.290356431,0.760214015,0.528086162
AE02,right,23,0.54982776,0.462094519,0.319441234,0.840435046,0.580984187
AE02,right,24,0.54982776,0.359381504,0.353833358,0.653625608,0.64353491
AE02,left,3,-0.54982776,-0.387265757,-0.17833628,0.704340131,0.324349357
AE02,left,9,-0.54982776,-0.44064478,-0.350572994,0.801423303,0.637605119
AE02,left,23,0.54982776,0.409237896,0.336426138,0.74430199,0.611875504
AE02,left,24,0.54982776,0.340109269,0.261429508,0.618574203,0.47547528
AE03,right,3,-0.54982776,-0.515974486,-0.526710128,0.93842931,0.957954774
AE03,right,4,0.54982776,0.236362113,0.259941052,0.429883921,0.472768148
AE03,right,7,0.54982776,0.282929912,0.327220661,0.514579169,0.59513303
AE03,right,8,0.54982776,0.365112106,0.342085224,0.664048147,0.622167974
AE03,right,9,-0.54982776,-0.276885494,-0.206640809,0.503585875,0.375828258
AE03,right,12,-0.54982776,-0.660846993,-0.528254132,1.201916383,0.960762934
AE03,right,21,-0.54982776,-0.427325626,-0.382860209,0.777199073,0.696327535
AE03,right,23,0.54982776,0.267105135,0.308669835,0.485797833,0.56139369
AE03,right,26,-0.54982776,-0.39983842,-0.43888501,0.727206679,0.798222719
AE03,left,3,-0.54982776,-0.41611913,-0.367035742,0.756817243,0.667546763
AE03,left,4,0.54982776,0.24979283,0.195260477,0.454311056,0.355130263
AE03,left,7,0.54982776,0.303297193,0.288818105,0.55162219,0.525288328
AE03,left,8,0.54982776,0.376340102,0.287605492,0.684469082,0.523082886
AE03,left,9,-0.54982776,-0.32619896,-0.213404911,0.59327481,0.388130476
AE03,left,12,-0.54982776,-0.769919512,-0.62933675,1.400292177,1.144607085
AE03,left,21,-0.54982776,-0.53085436,-0.385537834,0.965492102,0.70119747
AE03,left,23,0.54982776,0.308380738,0.313640282,0.560867895,0.570433697
AE03,left,26,-0.54982776,-0.462677391,-0.432635893,0.841495146,0.78685713
AE04,right,3,-0.54982776,-0.447478138,-0.450237203,0.813851484,0.818869537
AE04,right,4,0.54982776,0.326939689,0.272103568,0.594622011,0.494888742
AE04,right,7,0.54982776,0.432416568,0.419607747,0.786458231,0.763162171
AE04,right,8,0.54982776,0.45264375,0.459208917,0.823246448,0.835186854
AE04,right,9,-0.54982776,-0.465599588,-0.431569606,0.846809894,0.784917818
AE04,right,12,-0.54982776,-0.478064158,-0.485581599,0.869479849,0.883152206
AE04,right,21,-0.54982776,-0.442048833,-0.387296422,0.803976927,0.704395904
AE04,right,23,0.54982776,0.27123259,0.270921884,0.493304649,0.492739551
AE04,right,24,0.54982776,0.45863686,0.558390531,0.834146424,1.015573552
AE04,right,26,-0.54982776,-0.58383816,-0.497297244,1.061856462,0.904460051
AE04,left,3,-0.54982776,-0.48523526,-0.633593449,0.882522301,1.152348963
AE04,left,4,0.54982776,0.344214823,0.409980513,0.626041185,0.745652625
AE04,left,7,0.54982776,0.499193299,0.615749636,0.907908503,1.119895503
AE04,left,8,0.54982776,0.455609282,0.571347414,0.828640012,1.039138901
AE04,left,9,-0.54982776,-0.477149745,-0.6117249,0.86781676,1.112575509
AE04,left,12,-0.54982776,-0.409189014,-0.596634653,0.744213086,1.085130101
AE04,left,21,-0.54982776,-0.463956841,-0.563328466,0.843822146,1.024554427
AE04,left,23,0.54982776,0.391336494,0.487329479,0.711743789,0.886331164
AE04,left,24,0.54982776,0.530670777,0.692296816,0.96515821,1.259115793
AE04,left,26,-0.54982776,-0.588349127,-0.609874903,1.070060788,1.109210823
AE05,right,3,-0.54982776,-0.379038563,-0.490605987,0.689376912,0.892290318
AE05,right,4,0.54982776,0.394385252,0.334003772,0.717288722,0.607469823
AE05,right,7,0.54982776,0.272571265,0.104813446,0.495739366,0.1906296
AE05,right,8,0.54982776,0.327553534,0.288469026,0.595738443,0.52465344
AE05,right,9,-0.54982776,-0.516139012,-0.663254547,0.938728542,1.206295125
AE05,right,12,-0.54982776,-0.446676836,-0.567277038,0.812394113,1.031735899
AE05,right,21,-0.54982776,-0.371013448,-0.488661562,0.674781222,0.888753893
AE05,right,23,0.54982776,0.282747732,0.421234491,0.514247828,0.766120813
AE05,right,24,0.54982776,0.321211614,0.234230695,0.584204068,0.4260074
AE05,right,26,-0.54982776,-0.484117367,-0.553600203,0.880489131,1.006861135
AE06,right,3,-0.54982776,-0.636093808,-0.403743189,1.156896493,0.734308485
