,subject,amp,vel,eye,tracker
36,AE02,5.078427521,184.114855,right,EL
37,AE02,1.501679125,89.75423085,right,EL
38,AE02,-2.204921916,133.2819198,right,EL
39,AE02,11.03029634,309.6406139,right,EL
40,AE02,-7.81716115,210.6825938,right,EL
41,AE02,-10.78873364,242.1575563,right,EL
42,AE02,-5.387234207,198.8458391,right,EL
43,AE02,-7.88152413,238.0757029,right,EL
44,AE02,7.535616671,248.4011039,right,EL
45,AE02,10.27424366,222.973617,right,EL
46,AE02,-2.857516941,153.4672477,right,EL
47,AE02,-10.10711022,249.529247,right,EL
48,AE02,7.160915995,250.2549079,right,EL
49,AE02,7.148122906,211.231209,right,EL
50,AE02,4.915914223,198.7665586,right,EL
51,AE02,9.42400083,268.5203114,right,EL
52,AE02,-7.481664139,207.2154023,right,EL
53,AE02,-4.669277324,169.8490492,right,EL
55,AE02,-1.231635636,86.56010677,right,EL
56,AE02,11.39092324,293.8621845,right,EL
57,AE02,9.59033007,268.0080713,right,EL
58,AE02,-5.216698863,175.4515943,right,EL
59,AE02,5.245496357,178.4377519,right,EL
60,AE02,-9.864164065,252.8831754,right,EL
61,AE02,-4.800044367,159.1821989,right,EL
62,AE02,6.77113207,214.0189394,right,EL
63,AE02,-7.702049329,204.1124203,right,EL
64,AE02,-10.88513152,268.281835,right,EL
65,AE02,-5.034627465,176.3540531,right,EL
66,AE02,7.425432846,251.5289975,right,EL
67,AE02,-7.880633056,228.1719287,right,EL
68,AE02,-9.922243235,246.6454002,right,EL
69,AE02,6.406593491,207.21469,right,EL
70,AE02,-9.603601854,247.1245477,right,EL
71,AE02,9.179848723,276.762879,right,EL
72,AE02,10.53584237,291.0127233,right,EL
73,AE02,9.933372823,245.8064843,right,EL
74,AE02,9.044393268,257.3405714,right,EL
75,AE02,-8.199945056,252.5433906,right,EL
76,AE02,4.150502082,157.0565551,right,EL
77,AE02,6.973195697,229.5035167,right,EL
78,AE02,7.525729802,243.4024511,right,EL
79,AE02,-2.602238593,151.4321186,right,EL
80,AE02,9.313452258,256.1525058,right,EL
81,AE02,-11.06628721,280.1898542,right,EL
82,AE02,9.637101266,234.3853491,right,EL
83,AE02,10.25244275,283.7907802,right,EL
84,AE02,-10.32662442,264.1598883,right,EL
85,AE02,-7.917550745,195.5746599,right,EL
86,AE02,10.53427354,300.9330767,right,EL
87,AE02,4.391106629,186.4736814,right,EL
88,AE02,-4.840699165,182.8617327,right,EL
89,AE02,-9.881483029,253.5180024,right,EL
90,AE02,-4.902205653,193.033589,right,EL
91,AE02,-11.09336012,266.3471091,right,EL
92,AE02,4.456182339,188.2454343,right,EL
93,AE02,7.686095536,241.6981789,right,EL
94,AE02,-7.716104381,237.2825268,right,EL
95,AE02,-4.589263258,180.1229938,right,EL
96,AE02,-10.56404705,255.9914166,right,EL
97,AE02,8.94659845,267.9536339,right,EL
98,AE02,8.120658089,229.4525894,right,EL
100,AE02,7.084759298,232.5263214,right,EL
101,AE02,-4.819903329,166.1710265,right,EL
102,AE02,-7.986056955,223.4287248,right,EL
103,AE02,-4.441473427,181.715809,right,EL
104,AE02,7.772140393,241.0286432,right,EL
105,AE02,8.013272427,264.9625893,right,EL
106,AE02,6.832488881,234.5406746,right,EL
107,AE02,-10.12920328,254.9165023,right,EL
108,AE02,-7.905245892,224.7335518,right,EL
109,AE02,-10.77932396,283.1475371,right,EL
110,AE02,-7.989622207,231.0279637,right,EL
111,AE02,7.548502738,234.4769222,right,EL
112,AE02,-7.484567737,235.8690887,right,EL
113,AE02,-9.982425392,265.7000483,right,EL
114,AE02,7.789584402,251.0246159,right,EL
115,AE02,10.18424672,303.2117945,right,EL
116,AE02,-7.580019424,198.6713737,right,EL
117,AE02,9.891650447,279.5228143,right,EL
118,AE02,-8.462807774,247.0588072,right,EL
119,AE02,9.421718606,281.7596663,right,EL
120,AE02,7.777598495,261.6765099,right,EL
121,AE02,-5.200782295,153.9592506,right,EL
122,AE02,2.060042825,111.8810559,right,EL
123,AE02,-9.720259759,241.8189376,right,EL
124,AE02,-7.687906478,234.1482606,right,EL
125,AE02,-9.614255137,252.4887476,right,EL
126,AE02,-5.300838849,188.3824604,right,EL
127,AE02,9.953622481,281.5433339,right,EL
128,AE02,-2.355702669,119.5593088,right,EL
129,AE02,-2.255526097,121.5186571,right,EL
130,AE02,-4.69435484,180.1250213,right,EL
131,AE02,7.262945362,230.2791024,right,EL
132,AE02,-2.02810146,101.8086205,right,EL
133,AE02,-8.424287421,167.0496262,right,EL
134,AE02,9.624074771,238.8062519,right,EL
135,AE02,-8.55454851,244.8178466,right,EL
136,AE02,10.23311387,273.7104469,right,EL
137,AE02,-2.306967475,124.6694236,right,EL
138,AE02,-7.711075883,222.8920112,right,EL
139,AE02,-8.109666164,239.6307694,right,EL
140,AE02,10.76163084,283.4636133,right,EL
141,AE02,10.46172614,260.9297067,right,EL
143,AE02,2.497646216,136.3811861,right,EL
144,AE02,5.075122033,203.1652186,right,EL
145,AE02,-4.566030546,164.2949202,right,EL
146,AE02,-10.07939513,260.8200415,right,EL
147,AE02,-7.70897713,237.7784549,right,EL
148,AE02,1.813834776,106.0271822,right,EL
149,AE02,6.958828583,211.350389,right,EL
150,AE02,2.091911508,126.1239165,right,EL
151,AE02,4.342928678,160.1077038,right,EL
152,AE02,9.827187569,309.4671968,right,EL
153,AE02,-5.456468076,198.5848424,right,EL
154,AE02,-4.636885324,138.2699494,right,EL
155,AE02,-2.626876989,125.2385219,right,EL
156,AE02,-1.947171647,118.3002111,right,EL
157,AE02,-1.875012568,120.8934112,right,EL
158,AE02,-7.228990289,197.5208505,right,EL
159,AE02,-7.673025792,206.5973746,right,EL
160,AE02,11.01351519,294.4113465,right,EL
161,AE02,7.824491486,254.4032583,right,EL
162,AE02,2.077493793,118.6628526,right,EL
163,AE02,-7.210727021,219.145023,right,EL
164,AE02,-6.376904565,193.4975837,right,EL
165,AE02,7.735124507,231.237668,right,EL
166,AE02,-10.50873468,299.5412119,right,EL
167,AE02,5.396662957,187.3842256,right,EL
168,AE02,-11.10679524,291.4573681,right,EL
169,AE02,7.433513988,217.7229892,right,EL
170,AE02,-10.58260872,287.0820099,right,EL
171,AE02,-5.238504852,183.7422701,right,EL
172,AE02,4.982231047,179.0670316,right,EL
173,AE02,7.279953936,242.0749341,right,EL
174,AE02,10.94616081,300.9112916,right,EL
0,AE03,3.953302364,170.9729969,right,EL
1,AE03,2.11264524,102.5992561,right,EL
2,AE03,-7.713366375,235.6374416,right,EL
3,AE03,4.025757206,176.6088758,right,EL
4,AE03,-7.254262188,230.8362414,right,EL
5,AE03,8.213411747,246.8443117,right,EL
7,AE03,7.625549166,249.0937165,right,EL
9,AE03,7.655002574,263.9231426,right,EL
10,AE03,-9.182316079,284.7833882,right,EL
11,AE03,9.451624991,286.2042038,right,EL
12,AE03,6.344285859,227.8523509,right,EL
13,AE03,-7.272622413,213.5435386,right,EL
14,AE03,1.569046395,86.14027019,right,EL
15,AE03,3.199772467,146.0367683,right,EL
16,AE03,1.286359652,69.87829466,right,EL
17,AE03,-1.988899995,98.26223492,right,EL
18,AE03,-7.271302398,209.5746324,right,EL
19,AE03,8.638211472,241.7711005,right,EL
20,AE03,8.665780959,236.5701182,right,EL
